Project Name,Address Wallet,Address,Investment,Profit,Transactions,,Win Rate,Total Invested,Total Returned,ROI %
Warren,https://solscan.io/account/Ckd3Dw9ge15KxUEHKisN3YcaTtzbtRHRRyvGgfTjmxee,Ckd3Dw9ge15KxUEHKisN3YcaTtzbtRHRRyvGgfTjmxee,$463 ,$341 ,1,,,,,
Warren,https://solscan.io/account/33rpuYCDRqHBWj44e8cmH79krKArKb7oMdCUd5Lx3Sea,33rpuYCDRqHBWj44e8cmH79krKArKb7oMdCUd5Lx3Sea,$444 ,$331 ,1,,,,,
MOONWIF,https://solscan.io/account/8Q8wW7SndLFeq6SvV4pdVNn9fV22K4FQsUS5f9qPHktf,8Q8wW7SndLFeq6SvV4pdVNn9fV22K4FQsUS5f9qPHktf,"$1,497 ","$1,293 ",1,,,,,
MOONWIF,https://solscan.io/account/EoqH4hujQodEi9vMjaJVwcvQ4WqReZmghbjccC75xPZ1,EoqH4hujQodEi9vMjaJVwcvQ4WqReZmghbjccC75xPZ1,$425 ,$866 ,1,,,,,
MOONWIF,https://solscan.io/account/AUkpGfjAUiTycNeNekrbWHyb763g8GpkB87TB5617YkB,AUkpGfjAUiTycNeNekrbWHyb763g8GpkB87TB5617YkB,$424 ,$851 ,1,,,,,
MOONWIF,https://solscan.io/account/9YWZYm4Secnq3GzkwDgaN5KWUJN8wb9L78mSDGXjtxY2,9YWZYm4Secnq3GzkwDgaN5KWUJN8wb9L78mSDGXjtxY2,$205 ,$490 ,1,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
