Project Name,Address Wallet,Address,Investment,Profit,Transactions,Win Rate,PnL,ROI,Initial Balance
BAKED,https://solscan.io/account/HmsSDsP9KK9oHtzQj8G8pfovBuVVT8FxzneP7LJxKN5e,HmsSDsP9KK9oHtzQj8G8pfovBuVVT8FxzneP7LJxKN5e,$4K,$13K,1,,,,
BAKED,https://solscan.io/account/ANv4f7brAGnVqwoS1UAY5dqVSUZeonzt6F7zfi2A35NN,ANv4f7brAGnVqwoS1UAY5dqVSUZeonzt6F7zfi2A35NN,$1K,$11K,1,,,,
BAKED,https://solscan.io/account/9wBDi4yQ6w9NsogRzrNbsGQ8NhysK39RtkZ7BkXVDavY,9wBDi4yQ6w9NsogRzrNbsGQ8NhysK39RtkZ7BkXVDavY,$3K,$10K,1,,,,
BAKED,https://solscan.io/account/9izCQnj96ZzuBB9HqtofShNeqDbYqN1KVjRFeoGcbXLr,9izCQnj96ZzuBB9HqtofShNeqDbYqN1KVjRFeoGcbXLr,$3K,$9K,1,,,,
BAKED,https://solscan.io/account/Dzy3PFnKCTiuNpKcfAJHDLCjXavVBfh1FRas6hvehmfP,Dzy3PFnKCTiuNpKcfAJHDLCjXavVBfh1FRas6hvehmfP,$609,$9K,1,,,,
BAKED,https://solscan.io/account/VUUn9tetFtKzyEL5cnBXMB4EAvKUR7geQsp6i8WUbGS,VUUn9tetFtKzyEL5cnBXMB4EAvKUR7geQsp6i8WUbGS,$708,$8K,1,,,,
BAKED,https://solscan.io/account/H6uZ91xFPsP4VxKmQsUi7ynUSo9F98gK4RZPxKR3CSqP,H6uZ91xFPsP4VxKmQsUi7ynUSo9F98gK4RZPxKR3CSqP,$1K,$8K,1,,,,
BAKED,https://solscan.io/account/CYtv71tCkCyBvLdeYLL5S8VuPLbjYJDXvajm61ndZGBv,CYtv71tCkCyBvLdeYLL5S8VuPLbjYJDXvajm61ndZGBv,$1K,$8K,1,,,,
BAKED,https://solscan.io/account/HxVnnXH1mYPZgYQa7SJ51cT799VPGeyYuA4Xgu7sdFdF,HxVnnXH1mYPZgYQa7SJ51cT799VPGeyYuA4Xgu7sdFdF,$1K,$7K,1,,,,
BAKED,https://solscan.io/account/Foh4R8Nd3BVRTmVZyDQzjbx95fWr6qtDAXbGN2Sz6e2Y,Foh4R8Nd3BVRTmVZyDQzjbx95fWr6qtDAXbGN2Sz6e2Y,$425,$7K,1,,,,
BAKED,https://solscan.io/account/5VhDpaF598rMdqoZBhEkAtULmxq9f3a1fFt8JHx4BCxm,5VhDpaF598rMdqoZBhEkAtULmxq9f3a1fFt8JHx4BCxm,$1K,$7K,1,,,,
BAKED,https://solscan.io/account/Gq3DKV43Bge1pt2ENXb3Rm7BNpc5Q4SvnCsiH3cy5nzN,Gq3DKV43Bge1pt2ENXb3Rm7BNpc5Q4SvnCsiH3cy5nzN,$1K,$7K,1,,,,
