Project Name,Address Wallet,Address,Investment,Profit,Transactions,,Win Rate,Total Invested,Total Returned,ROI %
OBEMA,https://solscan.io/account/51fE4SUVWbqYmxNt6PVAtTL4XAeHhPNsvoifTVDD53ZY,51fE4SUVWbqYmxNt6PVAtTL4XAeHhPNsvoifTVDD53ZY,$548,"$4,029",1,,,,,
aura,https://solscan.io/account/bv9GS7NBGyrFY7Q1foTi4Mr6gTuFYKrhJ9PJTmw6mod,bv9GS7NBGyrFY7Q1foTi4Mr6gTuFYKrhJ9PJTmw6mod,$16.6K,$11.1K,1,,,,,
aura,https://solscan.io/account/HGzbqJmD5Wj584oEeo9fpaJH9CYpLSpSh8wkNg1ehHmh,HGzbqJmD5Wj584oEeo9fpaJH9CYpLSpSh8wkNg1ehHmh,"$2,629",$11.1K,1,,,,,
aura,https://solscan.io/account/GKDQUzR7F6boTJhiaG5Zn3i6WBV8Q4HHovjvmfXk9ofq,GKDQUzR7F6boTJhiaG5Zn3i6WBV8Q4HHovjvmfXk9ofq,"$2,614","$8,470",1,,,,,
aura,https://solscan.io/account/EXFQyN3wSD7FpdvAK9u5hkd7WsKDSg4DXrL8UUU4GUKK,EXFQyN3wSD7FpdvAK9u5hkd7WsKDSg4DXrL8UUU4GUKK,$334,"$8,109",1,,,,,
aura,https://solscan.io/account/4d4FM9oKNEfpDMwiL5Fz355qFqagufKnSSDcYfnndHgg,4d4FM9oKNEfpDMwiL5Fz355qFqagufKnSSDcYfnndHgg,"$2,516","$8,071",1,,,,,
aura,https://solscan.io/account/E819d9MgxihQfTTp51qNbg4ezqUdXrvHD8BurF9tazM8,E819d9MgxihQfTTp51qNbg4ezqUdXrvHD8BurF9tazM8,"$2,226","$8,043",1,,,,,
aura,https://solscan.io/account/G74qPehmSN5z7Te5eoCjCszWectTgHdm2mKofDFAAkdx,G74qPehmSN5z7Te5eoCjCszWectTgHdm2mKofDFAAkdx,"$1,000","$7,431",1,,,,,
aura,https://solscan.io/account/91visP31tQJmA3ffgrNV1aKT6w95TS5x7wToTt4kvaF9,91visP31tQJmA3ffgrNV1aKT6w95TS5x7wToTt4kvaF9,$492,"$7,360",1,,,,,
aura,https://solscan.io/account/4bc1jeYRrLxNjsjhA7rMCn3tQKEqU5TMo6nXhGeJrqf6,4bc1jeYRrLxNjsjhA7rMCn3tQKEqU5TMo6nXhGeJrqf6,"$1,875","$6,719",1,,,,,
aura,https://solscan.io/account/VFJi22bgz1ir6an1jDvty9nbyrRhBm3SQkrpuXpQvNd,VFJi22bgz1ir6an1jDvty9nbyrRhBm3SQkrpuXpQvNd,"$3,552","$6,644",1,,,,,
MANEKI,https://solscan.io/account/ChJ8RviCYpB9gDp6fT41MphuJD6nSHBArKTYYrbLAsJ,ChJ8RviCYpB9gDp6fT41MphuJD6nSHBArKTYYrbLAsJ,$219.1K,$746.7K,1,,,,,
MANEKI,https://solscan.io/account/9AtxEBYbpVPa8RLHGNMW8pS2tNJTJpNvA4EbZfMhm18b,9AtxEBYbpVPa8RLHGNMW8pS2tNJTJpNvA4EbZfMhm18b,$418,$63.7K,1,,,,,
MANEKI,https://solscan.io/account/SCPK2QcQmoZeAzxHR7QFmJwzEc3ci2JQjm32BUSx9fb,SCPK2QcQmoZeAzxHR7QFmJwzEc3ci2JQjm32BUSx9fb,$16.6K,$61.2K,1,,,,,
MANEKI,https://solscan.io/account/95GmXNuHDDVdFJug1PqevoXAVtDwU9nJe1YWgkv7KmFd,95GmXNuHDDVdFJug1PqevoXAVtDwU9nJe1YWgkv7KmFd,$93.6K,$55.3K,1,,,,,
MANEKI,https://solscan.io/account/Ckf61XRadJeyGGXNURTn5JW1piDeSx6LtDhKqaArSnoW,Ckf61XRadJeyGGXNURTn5JW1piDeSx6LtDhKqaArSnoW,"$1,855",$50.4K,1,,,,,
MANEKI,https://solscan.io/account/GHCsrkm67bva8XS8AjJiD6pgZv1zQKsNfPqjyZxr4x5U,GHCsrkm67bva8XS8AjJiD6pgZv1zQKsNfPqjyZxr4x5U,$48,$46.3K,1,,,,,
MANEKI,https://solscan.io/account/SAZKnG8rPKqYBJ1hsteW9sjHf31sX3Mc4tGzaugV9At,SAZKnG8rPKqYBJ1hsteW9sjHf31sX3Mc4tGzaugV9At,"$7,269",$46.1K,1,,,,,
MANEKI,https://solscan.io/account/DFn1jv8CgvSsZWZaeTrin1rbdsh7rExHQ7exp1rBXTER,DFn1jv8CgvSsZWZaeTrin1rbdsh7rExHQ7exp1rBXTER,"$1,582",$39.8K,1,,,,,
MANEKI,https://solscan.io/account/CzfmsutVysf5M8wMDcpFnooaav7rhWUyJtDkNC2k2QMG,CzfmsutVysf5M8wMDcpFnooaav7rhWUyJtDkNC2k2QMG,$56,$39.4K,1,,,,,
MANEKI,https://solscan.io/account/E4meW7Ww7uyTPNodUfFspay7m9opnfuh8vk9yc9zfr8o,E4meW7Ww7uyTPNodUfFspay7m9opnfuh8vk9yc9zfr8o,$13.4K,$38.2K,1,,,,,
RETARDIO,https://solscan.io/account/HEZCtSWj3gRXMkCuZEipdWLUDvLcJE6iLxaLd8bfk9ec,HEZCtSWj3gRXMkCuZEipdWLUDvLcJE6iLxaLd8bfk9ec,"$4,785",$136.3K,1,,,,,
RETARDIO,https://solscan.io/account/BCaN2LxT1UTVcNpt969uVhKpHc6r7AirCBaFAZGFjwrh,BCaN2LxT1UTVcNpt969uVhKpHc6r7AirCBaFAZGFjwrh,$47.9K,$74.6K,1,,,,,
RETARDIO,https://solscan.io/account/7kEF7eCYxDE2wHvQUtxvuMxMzZ59BQvk1Pmh9w5smiAp,7kEF7eCYxDE2wHvQUtxvuMxMzZ59BQvk1Pmh9w5smiAp,$10.9K,$52.4K,1,,,,,
RETARDIO,https://solscan.io/account/6b8kPGz1ozL2sRwwgK4cWjAoz6Edy94aHwANM5qHn2yN,6b8kPGz1ozL2sRwwgK4cWjAoz6Edy94aHwANM5qHn2yN,$308,$26.3K,1,,,,,
RETARDIO,https://solscan.io/account/B1iVHjEps9NF8wv9QrLZDHpQwQnyqySmg3fC5xgichut,B1iVHjEps9NF8wv9QrLZDHpQwQnyqySmg3fC5xgichut,$11.7K,$20.6K,1,,,,,
RETARDIO,https://solscan.io/account/dyV8eKLUxu16RMkLcofQuxagXZoGzpyaiqFDFR3pT8N,dyV8eKLUxu16RMkLcofQuxagXZoGzpyaiqFDFR3pT8N,$31.0K,$17.9K,1,,,,,
RETARDIO,https://solscan.io/account/2mPvr93G556Eb7bR79hTKxXYRVNV2DT2MeZ4dggWoRn7,2mPvr93G556Eb7bR79hTKxXYRVNV2DT2MeZ4dggWoRn7,"$4,548",$17.2K,1,,,,,
RETARDIO,https://solscan.io/account/6chyEJfCDBLmXei1Cc3Zz16bYQ7Zgq3N39Rkf1oSMF1h,6chyEJfCDBLmXei1Cc3Zz16bYQ7Zgq3N39Rkf1oSMF1h,$158,$16.5K,1,,,,,
$BEER,https://solscan.io/account/CqrVcuUAyvNj5zPhtq3uqFzeeVsyno6sF7wxD4aNposr,CqrVcuUAyvNj5zPhtq3uqFzeeVsyno6sF7wxD4aNposr,$267.0K,$975.1K,1,,,,,
$BEER,https://solscan.io/account/8MoFYU8RiP9zn4z3kFSG3aK3ET7BiD1uKxi1LeKi3rE8,8MoFYU8RiP9zn4z3kFSG3aK3ET7BiD1uKxi1LeKi3rE8,$133.8K,$665.0K,1,,,,,
$BEER,https://solscan.io/account/4JBgLK739JA7feXJVmgbSa4TnfRcDktDcRajhZPXnt2y,4JBgLK739JA7feXJVmgbSa4TnfRcDktDcRajhZPXnt2y,"$6,114",$439.7K,1,,,,,
$BEER,https://solscan.io/account/8E3HBnFGmtvJ3vMdgtevEt1ykM4mTTS2eTZnnDvgy3zc,8E3HBnFGmtvJ3vMdgtevEt1ykM4mTTS2eTZnnDvgy3zc,$144.8K,$409.7K,1,,,,,
$BEER,https://solscan.io/account/4pb8ECVnmHSFCMn6zwQtBJ7TTm4hHXRLPKfxYD6aQHUC,4pb8ECVnmHSFCMn6zwQtBJ7TTm4hHXRLPKfxYD6aQHUC,$57.3K,$282.7K,1,,,,,
$BEER,https://solscan.io/account/HztJZHef4fXM9ANRh7LHtcrQHZybLucjCW5vntJTvnXv,HztJZHef4fXM9ANRh7LHtcrQHZybLucjCW5vntJTvnXv,"$9,534",$207.4K,1,,,,,
$BEER,https://solscan.io/account/6r7Bk3s9rAVcYeCy8ZUkz6Xp3HabFHbUXqzizwW7NSQm,6r7Bk3s9rAVcYeCy8ZUkz6Xp3HabFHbUXqzizwW7NSQm,"$9,013",$205.8K,1,,,,,
$BEER,https://solscan.io/account/H37vboWH8oE7N644Zn2eKGnd2KmJhxNsmLncAahNk1N4,H37vboWH8oE7N644Zn2eKGnd2KmJhxNsmLncAahNk1N4,"$1,517",$187.8K,1,,,,,
CHILL,https://solscan.io/account/etQ8JdoqbMNNH4rZTrhx6vcRZK7b1qZXuuTzVKLgwki,etQ8JdoqbMNNH4rZTrhx6vcRZK7b1qZXuuTzVKLgwki,"$2,926","$3,449",1,,,,,
CHILL,https://solscan.io/account/j1oAbxxiDUWvoHxEDhWE7THLjEkDQW2cSHYn2vttxTF,j1oAbxxiDUWvoHxEDhWE7THLjEkDQW2cSHYn2vttxTF,$36,"$3,186",1,,,,,
CHILL,https://solscan.io/account/EyBZoQ9K7XojsHEnGgM1H7KcEuGRVydxuTCz27nDdpjx,EyBZoQ9K7XojsHEnGgM1H7KcEuGRVydxuTCz27nDdpjx,$86,"$3,029",1,,,,,
CHILL,https://solscan.io/account/5fCaTkBQenJraPUT9vvCMAvoZXc2P2y16xEUTovjpcRt,5fCaTkBQenJraPUT9vvCMAvoZXc2P2y16xEUTovjpcRt,$715,"$1,251",1,,,,,
CHILL,https://solscan.io/account/AFDG3o6C2U3rFbAHgG4V7rNjLjj3v6UBsJKvEKHq3dhr,AFDG3o6C2U3rFbAHgG4V7rNjLjj3v6UBsJKvEKHq3dhr,$860,"$1,169",1,,,,,
CHILL,https://solscan.io/account/97yRbqGWwABrdNMbr6DXcx7BZGks4Qko4cSC7wYt8JYy,97yRbqGWwABrdNMbr6DXcx7BZGks4Qko4cSC7wYt8JYy,$797,"$1,162",1,,,,,
CHILL,https://solscan.io/account/FosE6RPiFCAZRUtPrn2wfP8y4kVfNWPJ791vUFgW2sEf,FosE6RPiFCAZRUtPrn2wfP8y4kVfNWPJ791vUFgW2sEf,"$4,005","$1,087",1,,,,,
CHILL,https://solscan.io/account/E3C3KpQ6xcmDiQySiyJXyUbx9Jc8pGtnve5hmLvoUV9x,E3C3KpQ6xcmDiQySiyJXyUbx9Jc8pGtnve5hmLvoUV9x,"$1,377",$957,1,,,,,
CHILL,https://solscan.io/account/BfeCTXih3eboqgiLvaPNDMTLLh7ZV9wkVzcxLu6pSx1n,BfeCTXih3eboqgiLvaPNDMTLLh7ZV9wkVzcxLu6pSx1n,"$2,901",$952,1,,,,,
CHILL,https://solscan.io/account/AxZtj6xPU25kE7ji9FDxH1EacwvQQS2cjTqNowXFf9BC,AxZtj6xPU25kE7ji9FDxH1EacwvQQS2cjTqNowXFf9BC,$274,$582,1,,,,,
CHILL,https://solscan.io/account/ETrEkxpW9WMLREAAXjNp7UvJyEBMktgqFYApPNChjBtu,ETrEkxpW9WMLREAAXjNp7UvJyEBMktgqFYApPNChjBtu,$896,$566,1,,,,,
CHILL,https://solscan.io/account/Ghj6RG7gyJV3rYthiiMmzUGvtt5PdfG3ZGi9SR5WnXrL,Ghj6RG7gyJV3rYthiiMmzUGvtt5PdfG3ZGi9SR5WnXrL,$401,$556,1,,,,,
CHILL,https://solscan.io/account/5Cv5bBbroVrDDAk9V222oLXznhb4c3FG6BXZCPwUgKBN,5Cv5bBbroVrDDAk9V222oLXznhb4c3FG6BXZCPwUgKBN,$827,$544,1,,,,,
